"","FIPS","location_id","county","state","Lat","Long","popdensity","pop19","area_mi2","1/23/20","1/24/20","1/25/20","1/26/20","1/27/20","1/28/20","1/29/20","1/30/20","1/31/20","2/1/20","2/2/20","2/3/20","2/4/20","2/5/20","2/6/20","2/7/20","2/8/20","2/9/20","2/10/20","2/11/20","2/12/20","2/13/20","2/14/20","2/15/20","2/16/20","2/17/20","2/18/20","2/19/20","2/20/20","2/21/20","2/22/20","2/23/20","2/24/20","2/25/20","2/26/20","2/27/20","2/28/20","2/29/20","3/1/20","3/2/20","3/3/20","3/4/20","3/5/20","3/6/20","3/7/20","3/8/20","3/9/20","3/10/20","3/11/20","3/12/20","3/13/20","3/14/20","3/15/20","3/16/20","3/17/20","3/18/20","3/19/20","3/20/20","3/21/20","3/22/20","3/23/20","3/24/20","3/25/20","3/26/20","3/27/20","3/28/20","3/29/20","3/30/20","3/31/20","4/1/20","4/2/20","4/3/20","4/4/20","4/5/20","4/6/20","4/7/20","4/8/20","4/9/20","4/10/20","4/11/20","4/12/20","4/13/20","4/14/20","4/15/20","4/16/20","4/17/20","4/18/20","4/19/20","4/20/20","4/21/20","4/22/20","4/23/20","4/24/20","4/25/20","4/26/20","4/27/20","4/28/20","4/29/20","4/30/20","5/1/20","5/2/20","5/3/20","5/4/20","5/5/20","5/6/20","5/7/20","5/8/20","5/9/20","5/10/20","5/11/20","5/12/20","5/13/20","5/14/20","5/15/20","5/16/20","5/17/20","5/18/20","5/19/20","5/20/20"
"1",1001,"Autauga, Alabama","Autauga","Alabama",32.53952745,-86.64408227,93.9859363434493,55869,594.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,6,6,6,8,8,10,12,12,12,12,12,12,12,17,18,19,19,19,23,24,24,24,25,26,28,30,32,33,36,36,36,37,39,41,42,43,47,51,54,54,56,58,62,63,72,81,88,90,100,100,108,118,124,130,135
"2",1003,"Baldwin, Alabama","Baldwin","Alabama",30.72774991,-87.72207058,140.418171067695,223234,1589.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,5,5,6,6,18,19,22,23,26,29,31,34,39,43,47,54,63,64,70,75,82,93,100,104,106,110,116,120,126,134,143,148,155,161,167,172,174,180,180,185,190,190,194,199,207,211,219,224,226,230,237,247,253,261,267,267,269,277
"3",1005,"Barbour, Alabama","Barbour","Alabama",31.868263,-85.3871286,27.8975680318235,24686,884.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4,4,8,9,10,10,10,11,13,14,15,18,20,22,28,29,31,33,34,34,35,38,38,38,42,43,45,45,47,47,50,52,57,59,61,67,70,74,79,81,85,89,92,96
"4",1007,"Bibb, Alabama","Bibb","Alabama",32.99642064,-87.1251146,35.9696745799737,22394,622.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,4,4,4,7,7,8,9,11,11,13,16,17,18,19,23,23,26,26,30,30,32,32,33,34,37,40,40,40,40,41,41,42,43,43,43,44,44,45,46,46,46,46,47,51,52,52,53,53,54
"5",1009,"Blount, Alabama","Blount","Alabama",33.98210918,-86.56790593,89.6833028319737,57826,644.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,6,7,7,7,7,9,11,12,13,13,13,13,15,15,15,17,18,19,21,22,22,24,25,27,31,33,35,36,36,38,38,38,39,39,41,42,42,42,42,44,46,47,47,47,48,48,48,48,48,49,49,50,50,50
"6",1011,"Bullock, Alabama","Bullock","Alabama",32.10030533,-85.71265535,16.218689788054,10101,622.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,6,8,8,8,8,9,9,11,11,11,12,12,12,12,12,12,12,13,14,14,14,15,17,17,17,20,21,22,26,26,27,27,32,35,39,50,58,64
"7",1013,"Butler, Alabama","Butler","Alabama",31.75300095,-86.68057478,25.0350784598947,19448,776.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,6,7,8,8,11,11,13,14,15,15,15,17,19,21,28,32,34,48,53,55,68,93,104,113,118,128,152,159,175,188,196,223,231,244,254,265,278,289,297,306
"8",1015,"Calhoun, Alabama","Calhoun","Alabama",33.77483727,-85.82630386,187.507221021011,113605,605.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,4,4,4,9,10,11,12,22,23,26,40,51,54,56,56,59,63,64,65,66,68,68,71,78,82,85,87,89,89,90,91,91,94,95,97,97,102,109,109,118,120,126,129,130,130,131,132,133,134,135,136,139,139,142,142
"9",1017,"Chambers, Alabama","Chambers","Alabama",32.91360079,-85.39072749,55.745729468761,33254,596.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,6,9,13,15,22,29,39,40,51,75,87,91,94,102,112,145,170,178,189,206,215,219,229,234,239,242,247,257,259,266,273,277,279,281,284,286,288,292,295,296,302,307,309,313,317,320,323,325,327,332,333,334,335,337,337,338,339,342
"10",1019,"Cherokee, Alabama","Cherokee","Alabama",34.17805983,-85.60638968,47.3108181325628,26196,553.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,5,5,5,5,7,7,7,7,9,9,9,10,11,11,12,12,13,14,14,14,14,14,15,15,16,16,16,16,16,19,19,19,20,20,22,23,23,24,24,24,24,25,26,27,28,30,30
