CLUSTER             LOC_ID                          LATITUDE            LONGITUDE           RADIUS              START_DATE        END_DATE          NUMBER_LOC          LLR                 P_VALUE             RECURR_INT          OBSERVED            EXPECTED            ODE                 REL_RISK            POPULATION          GINI_CLUST
1                   9009                            41.408033           -72.936204          203.29              2020/3/22         2020/5/20         65                  800828.270113       1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       F 
2                   26149                           41.914418           -85.527980          247.00              2020/3/27         2020/5/20         124                 88910.334427        1e-17               100000000000000000  174528              54127.77            3.22                3.51                3002863404.00       F 
3                   51630                           38.297786           -77.492245          305.50              2020/4/3          2020/5/20         238                 64029.381435        1e-17               100000000000000000  156811              56058.34            2.80                3.00                3563502576.00       F 
4                   31103                           42.879907           -99.713437          580.61              2020/4/23         2020/5/20         427                 23031.055442        1e-17               100000000000000000  49171               15700.78            3.13                3.20                1710965752.00       F 
5                   28021                           31.970617           -90.907022          293.68              2020/3/31         2020/5/20         152                 19412.494787        1e-17               100000000000000000  45024               15173.25            2.97                3.03                907792200.00        F 
6                   6037                            34.308284           -118.228241         0                   2020/4/20         2020/5/20         1                   7961.447417         1e-17               100000000000000000  28554               12239.40            2.33                2.36                1204693376.00       F 
7                   4001                            35.394650           -109.489238         162.39              2020/4/14         2020/5/20         5                   6922.415621         1e-17               100000000000000000  5292                589.06              8.98                9.01                48577320.00         F 
8                   12086                           25.611236           -80.551706          0                   2020/3/26         2020/5/20         1                   5394.939796         1e-17               100000000000000000  15634               5983.72             2.61                2.63                326032832.00        F 
9                   47169                           36.390262           -86.160880          0                   2020/4/29         2020/5/20         1                   5240.958868         1e-17               100000000000000000  1335                9.76                136.74              136.86              1354080.00          F 
10                  13273                           31.775275           -84.440697          77.77               2020/3/24         2020/5/20         22                  4491.870837         1e-17               100000000000000000  4576                742.71              6.16                6.18                39072480.00         F 
11                  48179                           35.400819           -100.812922         199.21              2020/4/20         2020/5/20         47                  4228.722746         1e-17               100000000000000000  4599                804.33              5.72                5.73                79168320.00         F 
12                  48201                           29.858649           -95.393395          0                   2020/4/27         2020/5/20         1                   2351.795411         1e-17               100000000000000000  9742                4448.78             2.19                2.20                565598464.00        F 
13                  13311                           34.646243           -83.749055          36.59               2020/4/14         2020/5/20         6                   2164.569393         1e-17               100000000000000000  2612                510.35              5.12                5.12                42086964.00         F 
14                  53077                           46.457385           -120.738013         0                   2020/4/2          2020/5/20         1                   1872.640833         1e-17               100000000000000000  2364                483.45              4.89                4.90                30104708.00         F 
15                  47007                           35.599430           -85.206120          0                   2020/4/23         2020/5/20         1                   1558.879629         1e-17               100000000000000000  597                 16.59               35.99               36.00               1807680.00          F 
16                  16013                           43.408581           -113.975266         0                   2020/3/23         2020/5/20         1                   647.238565          1e-17               100000000000000000  489                 53.42               9.15                9.16                2762520.00          F 
17                  45069                           34.599056           -79.675612          71.97               2020/4/22         2020/5/20         12                  640.613027          1e-17               100000000000000000  1901                735.18              2.59                2.59                77352000.00         F 
18                  37193                           36.208414           -81.162329          0                   2020/4/29         2020/5/20         1                   481.930069          1e-17               100000000000000000  430                 59.19               7.26                7.27                8209440.00          F 
19                  13101                           30.711011           -82.896873          29.09               2020/5/10         2020/5/20         3                   456.195577          1e-17               100000000000000000  221                 10.84               20.39               20.39               3006240.00          F 
20                  48113                           32.766706           -96.777961          0                   2020/4/29         2020/5/20         1                   367.976431          1e-17               100000000000000000  3692                2280.30             1.62                1.62                316262272.00        F 
21                  53061                           48.046160           -121.717070         62.27               2020/3/25         2020/5/20         4                   207.997351          1e-17               100000000000000000  9188                7373.44             1.25                1.25                394705472.00        F 
22                  32033                           39.441570           -114.899966         287.55              2020/4/15         2020/5/20         18                  137.112127          1e-17               100000000000000000  4350                3348.33             1.30                1.30                283794136.00        F 
23                  32031                           40.665623           -119.663159         0                   2020/5/20         2020/5/20         1                   87.048615           1e-17               100000000000000000  100                 18.54               5.39                5.39                56582364.00         F 
24                  48253                           32.739971           -99.878616          0                   2020/4/27         2020/5/20         1                   69.150265           1e-17               100000000000000000  90                  18.96               4.75                4.75                2409960.00          F 
25                  48181                           33.627450           -96.677535          0                   2020/5/18         2020/5/20         1                   40.511556           0.0000000000407     24569220973         64                  16.07               3.98                3.98                16345440.00         F 
26                  16031                           42.283479           -113.601241         88.05               2020/5/1          2020/5/20         6                   39.258139           0.000000000111      9034655573          247                 132.59              1.86                1.86                20228520.00         F 
27                  16087                           44.452755           -116.784769         0                   2020/5/12         2020/5/20         1                   37.148095           0.000000000596      1676847094          30                  3.61                8.31                8.31                1223280.00          F 
28                  48319                           30.717804           -99.226294          0                   2020/4/25         2020/5/20         1                   34.104366           0.00000000677       147715339           31                  4.37                7.09                7.09                512880.00           F 
29                  40033                           34.288456           -98.370536          42.29               2020/5/12         2020/5/20         2                   29.309176           0.000000311         3215416             105                 44.74               2.35                2.35                15169800.00         F 
30                  41047                           44.902879           -122.581512         0                   2020/4/29         2020/5/20         1                   21.960643           0.000110            9120                423                 300.94              1.41                1.41                41738112.00         F 
31                  40051                           35.016771           -97.883398          48.01               2020/4/15         2020/5/20         3                   20.556527           0.000336            2974                269                 177.08              1.52                1.52                15008400.00         F 
32                  5113                            34.482549           -94.227288          53.89               2020/5/19         2020/5/20         5                   8.928328            0.976               1                   18                  5.46                3.30                3.30                8332800.00          F 
