LOC_ID                          CLUSTER             P_VALUE             RECURR_INT          CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
9009                            1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       10564               2016.96             5.24                5.27                102570904.00        41.408033           -72.936204          F 
9007                            1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       960                 383.30              2.50                2.51                19492320.00         41.459497           -72.537149          F 
9001                            1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       14597               2225.96             6.56                6.61                113199648.00        41.268099           -73.388117          F 
9003                            1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       9205                2104.18             4.37                4.39                107006400.00        41.802830           -72.731039          F 
9005                            1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       1291                425.53              3.03                3.04                21639936.00         41.793753           -73.245148          F 
36103                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       37749               3484.32             10.83               11.08               177192256.00        40.883201           -72.801217          F 
36079                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       1353                232.00              5.83                5.84                11798400.00         41.426301           -73.749655          F 
9011                            1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       895                 625.80              1.43                1.43                31824720.00         41.488964           -72.104310          F 
9013                            1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       782                 355.65              2.20                2.20                18086512.00         41.858538           -72.330848          F 
36119                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       31130               2283.01             13.64               13.89               116100552.00        41.162784           -73.757417          F 
36027                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       3675                694.26              5.29                5.30                35306152.00         41.764861           -73.743567          F 
25013                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       5527                1100.49             5.02                5.04                55964640.00         42.134404           -72.632356          F 
9015                            1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       331                 275.57              1.20                1.20                14013840.00         41.829727           -71.981823          F 
36059                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       38134               3201.92             11.91               12.19               162831152.00        40.740665           -73.589419          F 
36087                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       12569               768.76              16.35               16.48               39094612.00         41.150279           -74.025605          F 
36005                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       43831               3346.53             13.10               13.45               170184944.00        40.852093           -73.862828          F 
25015                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       814                 379.51              2.14                2.15                19299600.00         42.339980           -72.658985          F 
36081                           1                   1e-17               100000000000000000  593619              76803.63            7.73                11.91               3905787728.00       59085               5318.40             11.11               11.51               270462752.00        40.710881           -73.816847          F 
