LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
10001                           1253                853.20              1.47                1.47                
10003                           2933                2636.96             1.11                1.11                
10005                           3960                1105.39             3.58                3.59                
1001                            135                 263.67              0.51                0.51                
1003                            277                 1053.52             0.26                0.26                
1005                            96                  116.50              0.82                0.82                
1007                            54                  105.69              0.51                0.51                
1009                            50                  272.90              0.18                0.18                
1011                            64                  47.67               1.34                1.34                
1013                            306                 91.78               3.33                3.33                
1015                            142                 536.14              0.26                0.26                
1017                            342                 156.94              2.18                2.18                
1019                            30                  123.63              0.24                0.24                
1021                            87                  209.67              0.41                0.41                
1023                            127                 59.41               2.14                2.14                
1025                            89                  111.48              0.80                0.80                
1027                            24                  62.46               0.38                0.38                
1029                            13                  70.37               0.18                0.18                
1031                            180                 247.02              0.73                0.73                
1033                            112                 260.70              0.43                0.43                
1035                            22                  56.95               0.39                0.39                
1037                            32                  50.32               0.64                0.64                
1039                            63                  174.85              0.36                0.36                
1041                            57                  65.00               0.88                0.88                
1043                            73                  395.33              0.18                0.18                
1045                            74                  232.06              0.32                0.32                
1047                            174                 175.54              0.99                0.99                
1049                            207                 337.50              0.61                0.61                
1051                            221                 383.26              0.58                0.58                
1053                            39                  172.88              0.23                0.23                
1055                            219                 482.64              0.45                0.45                
1057                            11                  76.94               0.14                0.14                
1059                            408                 148.01              2.76                2.76                
1061                            28                  123.98              0.23                0.23                
1063                            92                  38.28               2.40                2.40                
1065                            107                 69.14               1.55                1.55                
1067                            48                  81.20               0.59                0.59                
1069                            152                 499.70              0.30                0.30                
1071                            69                  243.64              0.28                0.28                
1073                            1449                3108.05             0.47                0.47                
1075                            15                  65.15               0.23                0.23                
1077                            116                 437.62              0.27                0.27                
1079                            34                  155.38              0.22                0.22                
1081                            467                 776.54              0.60                0.60                
1083                            72                  466.82              0.15                0.15                
1085                            158                 45.90               3.44                3.44                
1087                            57                  85.27               0.67                0.67                
1089                            297                 1759.89             0.17                0.17                
1091                            117                 89.02               1.31                1.31                
1093                            107                 140.21              0.76                0.76                
1095                            632                 456.71              1.38                1.38                
1097                            1832                1950.09             0.94                0.94                
1099                            19                  97.85               0.19                0.19                
11001                           7551                3330.69             2.27                2.27                
1101                            996                 1068.87             0.93                0.93                
1103                            135                 564.81              0.24                0.24                
1105                            23                  42.11               0.55                0.55                
1107                            88                  94.06               0.94                0.94                
1109                            124                 156.28              0.79                0.79                
1111                            124                 107.23              1.16                1.16                
1113                            113                 273.54              0.41                0.41                
1115                            102                 422.44              0.24                0.24                
1117                            425                 1027.42             0.41                0.41                
1119                            161                 58.65               2.75                2.75                
1121                            86                  377.45              0.23                0.23                
1123                            387                 190.51              2.03                2.03                
1125                            436                 988.03              0.44                0.44                
1127                            168                 299.78              0.56                0.56                
1129                            67                  77.05               0.87                0.87                
1131                            107                 48.95               2.19                2.19                
1133                            48                  111.51              0.43                0.43                
12001                           375                 1269.72             0.30                0.30                
12003                           26                  137.85              0.19                0.19                
12005                           86                  824.50              0.10                0.10                
12007                           49                  133.09              0.37                0.37                
12009                           374                 2840.79             0.13                0.13                
12011                           6407                9215.90             0.70                0.69                
12013                           41                  66.57               0.62                0.62                
12015                           399                 891.54              0.45                0.45                
12017                           116                 706.29              0.16                0.16                
12019                           333                 1034.73             0.32                0.32                
12021                           1058                1816.50             0.58                0.58                
12023                           116                 338.31              0.34                0.34                
12027                           80                  179.34              0.45                0.45                
12029                           28                  79.41               0.35                0.35                
12031                           1344                4520.00             0.30                0.30                
12033                           723                 1502.25             0.48                0.48                
12035                           169                 543.11              0.31                0.31                
12037                           2                   57.22               0.035               0.035               
12039                           245                 215.49              1.14                1.14                
12041                           10                  87.70               0.11                0.11                
12043                           17                  65.18               0.26                0.26                
12045                           1                   64.37               0.016               0.016               
12047                           153                 68.09               2.25                2.25                
12049                           47                  127.13              0.37                0.37                
12051                           228                 198.32              1.15                1.15                
12053                           112                 915.18              0.12                0.12                
12055                           109                 501.30              0.22                0.22                
12057                           1705                6946.77             0.25                0.24                
12059                           15                  92.58               0.16                0.16                
12061                           110                 754.74              0.15                0.15                
12063                           199                 219.05              0.91                0.91                
12065                           28                  67.23               0.42                0.42                
12067                           6                   39.75               0.15                0.15                
12069                           260                 1732.57             0.15                0.15                
12071                           1543                3636.64             0.42                0.42                
12073                           311                 1385.52             0.22                0.22                
12075                           29                  195.87              0.15                0.15                
12077                           199                 39.43               5.05                5.05                
12079                           66                  87.28               0.76                0.76                
12081                           893                 1903.10             0.47                0.47                
12083                           230                 1725.31             0.13                0.13                
12085                           419                 759.82              0.55                0.55                
12086                           16034               12822.26            1.25                1.25                
12087                           104                 350.31              0.30                0.30                
12089                           69                  418.25              0.16                0.16                
12091                           184                 994.55              0.19                0.18                
12093                           53                  199.01              0.27                0.27                
12095                           1708                6576.23             0.26                0.26                
12097                           639                 1773.31             0.36                0.36                
12099                           4776                7063.81             0.68                0.68                
12101                           328                 2614.29             0.13                0.13                
12103                           1075                4601.36             0.23                0.23                
12105                           786                 3420.49             0.23                0.23                
12107                           137                 351.69              0.39                0.39                
12109                           236                 1249.09             0.19                0.19                
12111                           338                 1549.35             0.22                0.22                
12113                           203                 869.84              0.23                0.23                
12115                           539                 2046.99             0.26                0.26                
12117                           446                 2226.72             0.20                0.20                
12119                           256                 624.94              0.41                0.41                
12121                           160                 209.62              0.76                0.76                
12123                           5                   101.79              0.049               0.049               
12125                           27                  71.91               0.38                0.38                
12127                           618                 2611.15             0.24                0.24                
12129                           33                  159.23              0.21                0.21                
12131                           98                  349.57              0.28                0.28                
12133                           16                  120.22              0.13                0.13                
13001                           117                 86.77               1.35                1.35                
13003                           26                  38.53               0.67                0.67                
13005                           74                  52.69               1.40                1.40                
