CLUSTER             DATASET             CATEGORY            OBSERVED            EXPECTED            ODE                 REL_RISK            POPULATION          
1                   1                   1                   593619              76803.63            7.73                11.91               3905787728.00       
2                   1                   1                   174528              54127.77            3.22                3.51                3002863404.00       
3                   1                   1                   156811              56058.34            2.80                3.00                3563502576.00       
4                   1                   1                   49171               15700.78            3.13                3.20                1710965752.00       
5                   1                   1                   45024               15173.25            2.97                3.03                907792200.00        
6                   1                   1                   28554               12239.40            2.33                2.36                1204693376.00       
7                   1                   1                   5292                589.06              8.98                9.01                48577320.00         
8                   1                   1                   15634               5983.72             2.61                2.63                326032832.00        
9                   1                   1                   1335                9.76                136.74              136.86              1354080.00          
10                  1                   1                   4576                742.71              6.16                6.18                39072480.00         
11                  1                   1                   4599                804.33              5.72                5.73                79168320.00         
12                  1                   1                   9742                4448.78             2.19                2.20                565598464.00        
13                  1                   1                   2612                510.35              5.12                5.12                42086964.00         
14                  1                   1                   2364                483.45              4.89                4.90                30104708.00         
15                  1                   1                   597                 16.59               35.99               36.00               1807680.00          
16                  1                   1                   489                 53.42               9.15                9.16                2762520.00          
17                  1                   1                   1901                735.18              2.59                2.59                77352000.00         
18                  1                   1                   430                 59.19               7.26                7.27                8209440.00          
19                  1                   1                   221                 10.84               20.39               20.39               3006240.00          
20                  1                   1                   3692                2280.30             1.62                1.62                316262272.00        
21                  1                   1                   9188                7373.44             1.25                1.25                394705472.00        
22                  1                   1                   4350                3348.33             1.30                1.30                283794136.00        
23                  1                   1                   100                 18.54               5.39                5.39                56582364.00         
24                  1                   1                   90                  18.96               4.75                4.75                2409960.00          
25                  1                   1                   64                  16.07               3.98                3.98                16345440.00         
26                  1                   1                   247                 132.59              1.86                1.86                20228520.00         
27                  1                   1                   30                  3.61                8.31                8.31                1223280.00          
28                  1                   1                   31                  4.37                7.09                7.09                512880.00           
29                  1                   1                   105                 44.74               2.35                2.35                15169800.00         
30                  1                   1                   423                 300.94              1.41                1.41                41738112.00         
31                  1                   1                   269                 177.08              1.52                1.52                15008400.00         
32                  1                   1                   18                  5.46                3.30                3.30                8332800.00          
